"Pincode","Delhivery","Delhivery Limitation","Fedex","Fedex Limitation","Dotzot","Dotzot Limitation","DTDC","Indiapost","Pref 1","Pref 2","Pref 3","Pref 4","Pref 5"
"641004","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641006","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"400601","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"400602","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"390003","Y","19999","Y","4999999","Y","24999","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"390007","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"390005","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"712235","Y","19999","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"712258","Y","19999","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"208018","Y","4998","N","N","Y","24999","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"302014","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"711401","Y","19999","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"530021","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"530023","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"575009","Y","19999","Y","4999999","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"575022","Y","19999","Y","4999999","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641009","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641012","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641014","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641027","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641035","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641037","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641044","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641048","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641062","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"500004","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex ","Delhivery","DTDC","Dotzot","Indiapost"
"500028","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex ","Delhivery","DTDC","Dotzot","Indiapost"
"500031","Y","19999","Y","4999999","Y","24999","N","Y","Fedex ","Delhivery","DTDC","Dotzot","Indiapost"
"500057","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex ","Delhivery","DTDC","Dotzot","Indiapost"
"500075","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex ","Delhivery","DTDC","Dotzot","Indiapost"
"500085","Y","19999","Y","4999999","N","N","N","Y","Fedex ","Delhivery","DTDC","Dotzot","Indiapost"
"390009","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"390010","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
